cohort,age,n,Percentage
ONS,0,601913,1.06
ONS,1,625476,1.11
ONS,2,650226,1.15
ONS,3,671016,1.1900000000000002
ONS,4,690816,1.22
ONS,5,689190,1.22
ONS,6,694734,1.23
ONS,7,709940,1.26
ONS,8,730548,1.29
ONS,9,715046,1.26
ONS,10,703087,1.24
ONS,11,692873,1.23
ONS,12,698821,1.24
ONS,13,676773,1.2
ONS,14,664025,1.17
ONS,15,637756,1.13
ONS,16,628023,1.11
ONS,17,613025,1.08
ONS,18,606611,1.0699999999999998
ONS,19,630456,1.11
ONS,20,653155,1.16
ONS,21,679487,1.2
ONS,22,694216,1.23
ONS,23,720400,1.27
ONS,24,725264,1.28
ONS,25,725111,1.28
ONS,26,745909,1.32
ONS,27,747190,1.32
ONS,28,768513,1.3599999999999999
ONS,29,784770,1.39
ONS,30,771964,1.37
ONS,31,764738,1.35
ONS,32,773176,1.37
ONS,33,753953,1.3299999999999998
ONS,34,760821,1.35
ONS,35,758955,1.34
ONS,36,741034,1.31
ONS,37,745909,1.32
ONS,38,743814,1.32
ONS,39,748497,1.32
ONS,40,749883,1.3299999999999998
ONS,41,720148,1.27
ONS,42,672256,1.1900000000000002
ONS,43,661208,1.17
ONS,44,672808,1.1900000000000002
ONS,45,685301,1.21
ONS,46,696231,1.23
ONS,47,724675,1.28
ONS,48,754435,1.3299999999999998
ONS,49,777997,1.38
ONS,50,758905,1.34
ONS,51,775715,1.37
ONS,52,774083,1.37
ONS,53,784116,1.39
ONS,54,782532,1.38
ONS,55,784299,1.39
ONS,56,775320,1.37
ONS,57,756023,1.34
ONS,58,736939,1.3
ONS,59,709201,1.25
ONS,60,677962,1.2
ONS,61,660419,1.17
ONS,62,644896,1.1400000000000001
ONS,63,618893,1.09
ONS,64,594643,1.05
ONS,65,571143,1.01
ONS,66,569908,1.01
ONS,67,559844,0.9900000000000001
ONS,68,541297,0.96
ONS,69,542108,0.96
ONS,70,550059,0.97
ONS,71,560762,0.9900000000000001
ONS,72,587908,1.04
ONS,73,632852,1.1199999999999999
ONS,74,482547,0.8500000000000001
ONS,75,461855,0.8200000000000001
ONS,76,453442,0.8
ONS,77,413706,0.73
ONS,78,362412,0.64
ONS,79,318577,0.5599999999999999
ONS,80,323778,0.5700000000000001
ONS,81,313081,0.5499999999999999
ONS,82,294838,0.52
ONS,83,271063,0.48
ONS,84,246429,0.44
ONS,85,223058,0.38999999999999996
ONS,86,195010,0.33999999999999997
ONS,87,173861,0.31
ONS,88,156497,0.27999999999999997
ONS,89,136917,0.24
ONS,90+,521067,0.9199999999999999
TPP,-1,NA,NA
TPP,0,199279,0.83
TPP,1,245545,1.02
TPP,2,258602,1.0699999999999998
TPP,3,267776,1.11
TPP,4,271849,1.13
TPP,5,275220,1.1400000000000001
TPP,6,277646,1.15
TPP,7,290918,1.21
TPP,8,291173,1.21
TPP,9,292564,1.22
TPP,10,289010,1.2
TPP,11,288957,1.2
TPP,12,282449,1.17
TPP,13,275821,1.15
TPP,14,267168,1.11
TPP,15,265344,1.0999999999999999
TPP,16,260641,1.08
TPP,17,253075,1.05
TPP,18,250240,1.04
TPP,19,255461,1.06
TPP,20,264216,1.0999999999999999
TPP,21,276430,1.15
TPP,22,288461,1.2
TPP,23,299106,1.24
TPP,24,303970,1.26
TPP,25,309483,1.29
TPP,26,315413,1.31
TPP,27,328102,1.3599999999999999
TPP,28,333752,1.39
TPP,29,344295,1.43
TPP,30,342097,1.4200000000000002
TPP,31,347773,1.4500000000000002
TPP,32,347655,1.44
TPP,33,342129,1.4200000000000002
TPP,34,342201,1.4200000000000002
TPP,35,337873,1.4000000000000001
TPP,36,333802,1.39
TPP,37,331382,1.38
TPP,38,330685,1.37
TPP,39,337761,1.4000000000000001
TPP,40,327390,1.3599999999999999
TPP,41,307491,1.28
TPP,42,290174,1.21
TPP,43,293989,1.22
TPP,44,295205,1.23
TPP,45,302993,1.26
TPP,46,309231,1.29
TPP,47,321019,1.3299999999999998
TPP,48,335377,1.39
TPP,49,337274,1.4000000000000001
TPP,50,332608,1.38
TPP,51,337848,1.4000000000000001
TPP,52,335625,1.39
TPP,53,336577,1.4000000000000001
TPP,54,339250,1.41
TPP,55,339037,1.41
TPP,56,328977,1.37
TPP,57,322910,1.34
TPP,58,310897,1.29
TPP,59,304323,1.26
TPP,60,287044,1.1900000000000002
TPP,61,283786,1.18
TPP,62,274285,1.1400000000000001
TPP,63,262862,1.09
TPP,64,249523,1.04
TPP,65,247162,1.03
TPP,66,246295,1.02
TPP,67,238829,0.9900000000000001
TPP,68,233897,0.97
TPP,69,235134,0.98
TPP,70,240248,1
TPP,71,246004,1.02
TPP,72,269473,1.1199999999999999
TPP,73,253413,1.05
TPP,74,195338,0.8099999999999999
TPP,75,211160,0.88
TPP,76,184789,0.77
TPP,77,173232,0.72
TPP,78,145805,0.61
TPP,79,140616,0.58
TPP,80,139969,0.58
TPP,81,135296,0.5599999999999999
TPP,82,124640,0.52
TPP,83,115127,0.48
TPP,84,104144,0.43
TPP,85,94056,0.38999999999999996
TPP,86,83115,0.35000000000000003
TPP,87,75797,0.32
TPP,88,66763,0.27999999999999997
TPP,89,NA,NA
TPP,90+,221067,0.9199999999999999
